diff,distance,value
313106,25.53471958,236
313111,25.53471958,236
313116,25.62915874,236
313121,25.62915874,227
313126,25.62915874,225
313131,25.62915874,214
313136,25.62915874,208
313141,25.62915874,205
313145,25.62915874,205
313150,25.62915874,210
313155,25.62915874,220
313160,25.62915874,223
313165,25.62915874,222
313170,25.62915874,226
313175,25.62915874,231
313180,25.62915874,234
313185,25.62915874,233
313189,25.62915874,247
313194,25.62915874,249
313199,25.62915874,251
313204,25.53471958,249
313209,25.53471958,245
313214,25.53471958,245
313219,25.53471958,260
309292,24.643448,184
302036,24.4035406,250
300518,24.11872409,243
299104,23.45599055,242
299099,23.45599055,243
299094,23.45599055,231
298918,23.7756833,241
298605,23.7040843,281
297376,23.88539618,187
297337,23.91945258,237
297332,23.91945258,245
297327,23.91945258,255
297371,23.88539618,199
297351,23.91945258,231
297342,23.91945258,228
297346,23.91945258,227
297366,23.88539618,208
297356,23.91945258,225
297361,23.91945258,224
297925,23.50434148,257
297596,23.72910089,219
297435,23.88539618,202
297381,23.88539618,178
297395,23.79005873,178
297440,23.88539618,215
297391,23.88539618,181
297386,23.88539618,174
297430,23.88539618,203
297410,23.88539618,177
297400,23.88539618,180
297405,23.88539618,181
297425,23.88539618,196
297415,23.88539618,185
297420,23.88539618,189
297591,23.72910089,226
297513,23.75624717,228
297474,23.88539618,215
297454,23.88539618,210
297444,23.88539618,213
297449,23.88539618,213
297469,23.88539618,220
297459,23.88539618,215
297464,23.79005873,220
297508,23.75624717,233
297489,23.79005873,195
297479,23.88539618,207
297484,23.88539618,205
297503,23.75624717,218
297493,23.79005873,200
297498,23.75624717,206
297587,23.72910089,228
297547,23.79005873,266
297528,23.75624717,240
297518,23.75624717,230
297523,23.75624717,226
297542,23.79005873,264
297533,23.79005873,255
297538,23.79005873,256
297582,23.72910089,237
297562,23.79005873,252
297552,23.79005873,270
297557,23.79005873,261
297577,23.72910089,237
297567,23.79005873,236
297572,23.82425182,239
297920,23.50434148,247
297748,23.85882481,209
297670,23.85882481,227
297631,23.76381273,211
297611,23.72910089,204
297601,23.72910089,211
297606,23.72910089,212
297626,23.76381273,208
297616,23.76381273,205
297621,23.76381273,206
297665,23.85882481,222
297645,23.85882481,228
297635,23.76381273,227
297640,23.76381273,231
297660,23.85882481,226
297650,23.85882481,218
297655,23.85882481,220
297743,23.85882481,205
297704,23.85882481,221
297685,23.85882481,230
297675,23.85882481,228
297680,23.85882481,235
297699,23.85882481,213
297689,23.85882481,228
297694,23.85882481,218
297738,23.85882481,197
297719,23.85882481,213
297709,23.85882481,219
297714,23.85882481,216
297733,23.85882481,202
297724,23.85882481,215
297729,23.85882481,210
297915,23.53895089,258
297836,23.85882481,219
297782,23.85882481,213
297763,23.85882481,214
297753,23.85882481,215
297758,23.85882481,218
297778,23.85882481,214
297768,23.85882481,209
297773,23.85882481,219
297831,23.85882481,223
297797,23.85882481,230
297787,23.85882481,215
297792,23.85882481,222
297827,23.85882481,222
297802,23.85882481,223
297807,23.85882481,220
297910,23.63400037,269
297871,23.76381273,242
297851,23.85882481,219
297841,23.85882481,223
297846,23.85882481,224
297866,23.85882481,234
297856,23.85882481,216
297861,23.85882481,227
297905,23.66885211,262
297885,23.76381273,241
297876,23.76381273,238
297880,23.76381273,240
297900,23.76381273,262
297890,23.76381273,246
297895,23.76381273,258
298600,23.7040843,279
298287,23.34086233,207
298076,23.47011706,239
297998,23.56544502,245
297959,23.50434148,253
297939,23.50434148,253
297929,23.50434148,245
297934,23.50434148,245
297954,23.50434148,245
297944,23.50434148,249
297949,23.50434148,251
297993,23.56544502,259
297973,23.56544502,264
297964,23.50434148,257
297969,23.59953078,257
297988,23.56544502,257
297978,23.56544502,269
297983,23.56544502,255
298071,23.47011706,242
298032,23.50434148,236
298013,23.56544502,243
298003,23.56544502,246
298008,23.56544502,243
298027,23.50434148,241
298017,23.56544502,237
298022,23.59953078,241
298066,23.50434148,232
298047,23.50434148,238
298037,23.50434148,229
298042,23.50434148,231
298062,23.50434148,244
298052,23.50434148,236
298057,23.50434148,241
298282,23.24549444,222
298150,23.47011706,233
298111,23.56544502,231
298091,23.56544502,233
298081,23.47011706,229
298086,23.56544502,227
298106,23.56544502,233
298096,23.56544502,239
298101,23.56544502,235
298145,23.47011706,233
298125,23.56544502,244
298115,23.56544502,237
298120,23.56544502,237
298140,23.47011706,238
298130,23.47011706,235
298135,23.47011706,231
298277,23.27961035,221
298238,23.37483863,226
298164,23.47011706,225
298155,23.47011706,228
298159,23.47011706,233
298199,23.47011706,231
298169,23.47011706,229
298184,23.47011706,222
298272,23.27961035,231
298252,23.34086233,224
298243,23.34086233,236
298248,23.34086233,233
298267,23.37483863,219
298257,23.34086233,211
298262,23.37483863,210
298595,23.7040843,277
298438,23.21907962,217
298360,23.44395305,209
298321,23.24549444,193
298301,23.34086233,188
298292,23.34086233,203
298297,23.34086233,204
298316,23.34086233,196
298306,23.34086233,193
298311,23.34086233,198
298355,23.44395305,204
298336,23.40920278,185
298326,23.27961035,189
298331,23.37483863,186
298350,23.44395305,200
298341,23.40920278,192
298345,23.40920278,198
298434,23.21907962,224
298394,23.44395305,247
298375,23.44395305,245
298365,23.44395305,219
298370,23.44395305,233
298390,23.44395305,249
298380,23.44395305,252
298385,23.44395305,255
298429,23.3490075,230
298409,23.44395305,254
298399,23.44395305,254
298404,23.44395305,249
298424,23.3490075,244
298414,23.44395305,249
298419,23.3490075,254
298590,23.7040843,260
298512,23.51460514,226
298473,23.47908775,202
298453,23.25411487,215
298443,23.21907962,213
298448,23.21907962,206
298468,23.47908775,208
298458,23.3490075,201
298463,23.38428528,202
298507,23.51460514,224
298487,23.47908775,195
298478,23.47908775,197
298482,23.47908775,190
298502,23.51460514,217
298492,23.51460514,191
298497,23.51460514,203
298585,23.7040843,250
298546,23.60931783,217
298526,23.60931783,221
298517,23.60931783,229
298522,23.60931783,235
298541,23.60931783,222
298531,23.60931783,226
298536,23.60931783,216
298580,23.7040843,235
298561,23.7040843,210
298551,23.60931783,221
298556,23.60931783,213
298575,23.7040843,219
298566,23.7040843,212
298570,23.7040843,209
298913,23.7756833,224
298908,23.7756833,217
298903,23.73969527,208
298742,23.60931783,235
298663,23.60931783,219
298624,23.66885211,258
298619,23.66885211,269
298610,23.7040843,276
298615,23.7040843,273
298659,23.7040843,218
298639,23.66885211,242
298629,23.66885211,263
298634,23.66885211,259
298654,23.66885211,226
298644,23.66885211,233
298649,23.66885211,232
298737,23.60931783,238
298698,23.60931783,234
298678,23.60931783,225
298668,23.60931783,230
298673,23.60931783,238
298693,23.60931783,230
298683,23.60931783,229
298688,23.60931783,226
298732,23.60931783,226
298712,23.60931783,225
298703,23.60931783,230
298707,23.60931783,228
298727,23.60931783,224
298717,23.60931783,232
298722,23.60931783,232
298898,23.73969527,195
298810,23.64507196,245
298771,23.60931783,245
298751,23.60931783,235
298747,23.60931783,239
298766,23.60931783,237
298756,23.60931783,235
298761,23.60931783,238
298805,23.60931783,249
298786,23.60931783,270
298776,23.60931783,258
