diff,distance,cos,sin,value
899232,9.702575682,-0.991965303,-0.126510231,198
899227,9.702591254,-0.991962964,-0.12652857,222
899222,9.701994131,-0.991940701,-0.126702979,261
899217,9.700997302,-0.991922497,-0.126845415,291
899212,9.700522371,-0.991909866,-0.126944152,312
899207,9.703318699,-0.991909678,-0.126945625,340
899202,9.707263296,-0.99182102,-0.127636451,366
899197,9.714145119,-0.991655227,-0.128918232,414
899193,9.722170667,-0.991346127,-0.131273975,446
899188,9.741231116,-0.990530147,-0.137295403,465
899183,9.764180352,-0.989582298,-0.143968316,487
899178,9.78777524,-0.988542577,-0.150942284,485
899173,9.795103096,-0.98792536,-0.154930576,505
899168,9.80739927,-0.987542328,-0.157353582,520
899163,9.824281474,-0.986896398,-0.161355196,507
899158,9.845713936,-0.985995138,-0.166774064,494
899153,9.864905111,-0.985675592,-0.168652385,500
899148,9.910381782,-0.985975223,-0.166891762,506
899143,9.961402034,-0.986090974,-0.166206473,515
899139,10.01631887,-0.986101473,-0.166144167,514
899134,10.09549237,-0.985877605,-0.167467454,522
899129,10.18460487,-0.985520076,-0.169558782,523
899124,10.2746426,-0.985169947,-0.171581395,515
899119,10.3616799,-0.984852663,-0.173393286,520
899114,10.45121849,-0.984504973,-0.175356662,518
899109,10.5443207,-0.984188031,-0.177126844,496
899104,10.63888548,-0.983804417,-0.179245275,495
899099,10.73400274,-0.983403181,-0.181433689,520
899094,10.82749295,-0.982925115,-0.184006027,519
899090,10.90525431,-0.982352281,-0.187040092,496
899085,10.97130148,-0.981699204,-0.190438107,495
899080,11.05075988,-0.980548732,-0.196275785,470
899075,11.12033987,-0.979086065,-0.203446497,472
899070,11.17859135,-0.97742878,-0.211265191,473
899065,11.2279047,-0.975607503,-0.219522209,480
899060,11.27486594,-0.973670954,-0.227958051,479
899055,11.31958683,-0.971845358,-0.23561961,478
899050,11.36255191,-0.970209946,-0.242265682,477
899045,11.41579441,-0.968533635,-0.248882698,482
899040,11.4830872,-0.966729383,-0.255801289,463
899036,11.54177116,-0.965448031,-0.260595663,455
899031,11.6180178,-0.96391255,-0.266219076,447
899026,11.704537,-0.962580819,-0.270994771,424
899021,11.78672648,-0.961264185,-0.275628675,430
899016,11.86984841,-0.960014162,-0.27995144,406
899011,11.95815783,-0.959068943,-0.283172674,403
899006,12.05349854,-0.958407388,-0.285403713,380
899001,12.09882012,-0.958320832,-0.285694211,366
898996,12.18420802,-0.958515228,-0.285041327,345
898991,12.27204233,-0.959017238,-0.283347732,346
898986,12.37550638,-0.959749644,-0.280856941,328
898982,12.45954438,-0.960408446,-0.278595793,323
898977,12.56870127,-0.961057271,-0.276349275,328
898972,12.67365585,-0.960952786,-0.276712385,336
898967,12.73847042,-0.960258121,-0.279113492,340
898962,12.8174984,-0.95882091,-0.284011378,332
898957,12.88837695,-0.957209452,-0.289396035,322
898952,12.9566907,-0.955605734,-0.294648404,305
898947,13.02383652,-0.954208357,-0.299142795,307
898942,13.08742336,-0.953002981,-0.302960917,308
898937,13.168991,-0.951689081,-0.307063338,312
898932,13.26068624,-0.950899494,-0.309499841,313
898928,13.33361349,-0.950581598,-0.31047484,317
898923,13.4305852,-0.95059576,-0.310431477,308
898918,13.52884416,-0.95093197,-0.309400046,300
